wall_time,event_receive_ros_time_sec,source_ros_time_sec,elapsed_sec,kind,name,phase,duration_sec,source_node,detail,raw
2026-07-07 00:10:40.994,1783354240.994594812,1783354240.994407892,75.698777102,sequence,full_grasp,begin,-1.000000000,task_manager_node,,source_ros_time=1783354240.994407892|source_node=task_manager_node|kind=sequence|name=full_grasp|phase=begin
2026-07-07 00:10:40.994,1783354240.994632959,1783354240.994506598,75.698815284,service,set_controller_mode,begin,-1.000000000,task_manager_node,mode=moving,source_ros_time=1783354240.994506598|source_node=task_manager_node|kind=service|name=set_controller_mode|phase=begin|detail=mode=moving
2026-07-07 00:10:40.995,1783354240.995489359,1783354240.995336533,75.699671718,service,set_controller_mode,end,0.000829935,task_manager_node,"mode=moving,ok=1","source_ros_time=1783354240.995336533|source_node=task_manager_node|kind=service|name=set_controller_mode|phase=end|detail=mode=moving,ok=1"
2026-07-07 00:10:40.995,1783354240.995611668,1783354240.995406389,75.699794062,action,look_out,begin,-1.000000000,task_manager_node,"target_x=0.0379506,target_y=-0.380991","source_ros_time=1783354240.995406389|source_node=task_manager_node|kind=action|name=look_out|phase=begin|detail=target_x=0.0379506,target_y=-0.380991"
2026-07-07 00:10:40.995,1783354240.995692015,1783354240.995439053,75.699874449,service,set_controller_mode,begin,-1.000000000,task_manager_node,mode=moving,source_ros_time=1783354240.995439053|source_node=task_manager_node|kind=service|name=set_controller_mode|phase=begin|detail=mode=moving
2026-07-07 00:10:40.996,1783354240.996279001,1783354240.996123552,75.700461469,service,set_controller_mode,end,0.000684500,task_manager_node,"mode=moving,ok=1","source_ros_time=1783354240.996123552|source_node=task_manager_node|kind=service|name=set_controller_mode|phase=end|detail=mode=moving,ok=1"
2026-07-07 00:10:40.996,1783354240.996450901,1783354240.996213436,75.700633213,motion,move_joint,begin,-1.000000000,task_manager_node,"seq=2,points=1,max_v=1,max_a=2,blend_radius=0.1","source_ros_time=1783354240.996213436|source_node=task_manager_node|kind=motion|name=move_joint|phase=begin|detail=seq=2,points=1,max_v=1,max_a=2,blend_radius=0.1"
2026-07-07 00:10:41.447,1783354241.447292328,1783354241.447155952,76.151474789,motion,move_joint,end,0.450942516,task_manager_node,"seq=2,ok=1,message=success","source_ros_time=1783354241.447155952|source_node=task_manager_node|kind=motion|name=move_joint|phase=end|detail=seq=2,ok=1,message=success"
2026-07-07 00:10:41.447,1783354241.447429895,1783354241.447203398,76.151612253,action,look_out,end,0.451797009,task_manager_node,"target_x=0.0379506,target_y=-0.380991,yaw=-1.47151,ok=1","source_ros_time=1783354241.447203398|source_node=task_manager_node|kind=action|name=look_out|phase=end|detail=target_x=0.0379506,target_y=-0.380991,yaw=-1.47151,ok=1"
2026-07-07 00:10:41.648,1783354241.648531437,1783354241.648364305,76.352713892,action,grasp_move,begin,-1.000000000,task_manager_node,"target_x=0.0379506,target_y=-0.380991,target_z=0.12,tool_roll=0","source_ros_time=1783354241.648364305|source_node=task_manager_node|kind=action|name=grasp_move|phase=begin|detail=target_x=0.0379506,target_y=-0.380991,target_z=0.12,tool_roll=0"
2026-07-07 00:10:41.648,1783354241.648625374,1783354241.648542404,76.352807720,motion,move_joint,begin,-1.000000000,task_manager_node,"seq=3,points=2,max_v=1,max_a=2,blend_radius=0.1","source_ros_time=1783354241.648542404|source_node=task_manager_node|kind=motion|name=move_joint|phase=begin|detail=seq=3,points=2,max_v=1,max_a=2,blend_radius=0.1"
2026-07-07 00:10:44.052,1783354244.052545071,1783354244.052451372,78.756727476,motion,move_joint,end,2.403908968,task_manager_node,"seq=3,ok=1,message=success","source_ros_time=1783354244.052451372|source_node=task_manager_node|kind=motion|name=move_joint|phase=end|detail=seq=3,ok=1,message=success"
2026-07-07 00:10:44.052,1783354244.052669525,1783354244.052504778,78.756851749,action,grasp_move,end,2.404140472,task_manager_node,"target_x=0.0379506,target_y=-0.380991,target_z=0.12,tool_roll=0,ok=1","source_ros_time=1783354244.052504778|source_node=task_manager_node|kind=action|name=grasp_move|phase=end|detail=target_x=0.0379506,target_y=-0.380991,target_z=0.12,tool_roll=0,ok=1"
2026-07-07 00:10:44.052,1783354244.052742958,1783354244.052525997,78.756925235,action,suction_on,begin,-1.000000000,task_manager_node,,source_ros_time=1783354244.052525997|source_node=task_manager_node|kind=action|name=suction_on|phase=begin
2026-07-07 00:10:45.953,1783354245.953071356,1783354245.952931643,80.657253731,service,set_controller_mode,begin,-1.000000000,task_manager_node,mode=loaded,source_ros_time=1783354245.952931643|source_node=task_manager_node|kind=service|name=set_controller_mode|phase=begin|detail=mode=loaded
2026-07-07 00:10:45.953,1783354245.953485966,1783354245.953422070,80.657668446,service,set_controller_mode,end,0.000490427,task_manager_node,"mode=loaded,ok=1","source_ros_time=1783354245.953422070|source_node=task_manager_node|kind=service|name=set_controller_mode|phase=end|detail=mode=loaded,ok=1"
2026-07-07 00:10:45.953,1783354245.953570127,1783354245.953459263,80.657752510,action,suction_on,end,1.900933266,task_manager_node,"ok=1,suction_ok=1,mode_ok=1","source_ros_time=1783354245.953459263|source_node=task_manager_node|kind=action|name=suction_on|phase=end|detail=ok=1,suction_ok=1,mode_ok=1"
2026-07-07 00:10:45.953,1783354245.953601837,1783354245.953481913,80.657784246,sequence,full_grasp,end,4.959074020,task_manager_node,ok=1,source_ros_time=1783354245.953481913|source_node=task_manager_node|kind=sequence|name=full_grasp|phase=end|detail=ok=1
2026-07-07 00:10:45.953,1783354245.953628063,1783354245.953502655,80.657810648,sequence,grasp_pose,end,4.959136248,task_manager_node,"ok=1,aligned=0","source_ros_time=1783354245.953502655|source_node=task_manager_node|kind=sequence|name=grasp_pose|phase=end|detail=ok=1,aligned=0"
2026-07-07 00:10:45.953,1783354245.953654766,1783354245.953528881,80.657837266,mission,radar_pick_fallback,end,4.959281445,task_manager_node,"task_index=8,point_id=4,enabled=1,ok=1,target_id=8,rel_x=0.037951,rel_y=-0.380991,target_z=0.120000","source_ros_time=1783354245.953528881|source_node=task_manager_node|kind=mission|name=radar_pick_fallback|phase=end|detail=task_index=8,point_id=4,enabled=1,ok=1,target_id=8,rel_x=0.037951,rel_y=-0.380991,target_z=0.120000"
2026-07-07 00:10:46.453,1783354246.453789711,1783354246.453624487,81.157972039,service,navigation_arm_event,begin,-1.000000000,task_manager_node,event=grabbed,source_ros_time=1783354246.453624487|source_node=task_manager_node|kind=service|name=navigation_arm_event|phase=begin|detail=event=grabbed
2026-07-07 00:10:46.454,1783354246.454262972,1783354246.454211235,81.158445429,service,navigation_arm_event,end,0.000586748,task_manager_node,"event=grabbed,ok=1,message=received","source_ros_time=1783354246.454211235|source_node=task_manager_node|kind=service|name=navigation_arm_event|phase=end|detail=event=grabbed,ok=1,message=received"
2026-07-07 00:10:46.454,1783354246.454356909,1783354246.454240561,81.158539255,sequence,move_to_carry_loaded,begin,-1.000000000,task_manager_node,,source_ros_time=1783354246.454240561|source_node=task_manager_node|kind=sequence|name=move_to_carry_loaded|phase=begin
2026-07-07 00:10:46.454,1783354246.454418421,1783354246.454280615,81.158600900,service,set_controller_mode,begin,-1.000000000,task_manager_node,mode=moving,source_ros_time=1783354246.454280615|source_node=task_manager_node|kind=service|name=set_controller_mode|phase=begin|detail=mode=moving
2026-07-07 00:10:46.455,1783354246.455013275,1783354246.454913616,81.159195823,service,set_controller_mode,end,0.000633001,task_manager_node,"mode=moving,ok=1","source_ros_time=1783354246.454913616|source_node=task_manager_node|kind=service|name=set_controller_mode|phase=end|detail=mode=moving,ok=1"
2026-07-07 00:10:46.455,1783354246.455116272,1783354246.454973936,81.159298621,motion,move_joint,begin,-1.000000000,task_manager_node,"seq=4,points=1,max_v=1,max_a=2,blend_radius=0.1","source_ros_time=1783354246.454973936|source_node=task_manager_node|kind=motion|name=move_joint|phase=begin|detail=seq=4,points=1,max_v=1,max_a=2,blend_radius=0.1"
2026-07-07 00:10:49.159,1783354249.159448862,1783354249.159226656,83.863631332,motion,move_joint,end,2.704252720,task_manager_node,"seq=4,ok=1,message=success","source_ros_time=1783354249.159226656|source_node=task_manager_node|kind=motion|name=move_joint|phase=end|detail=seq=4,ok=1,message=success"
2026-07-07 00:10:49.159,1783354249.159640551,1783354249.159305334,83.863822971,service,set_controller_mode,begin,-1.000000000,task_manager_node,mode=loaded,source_ros_time=1783354249.159305334|source_node=task_manager_node|kind=service|name=set_controller_mode|phase=begin|detail=mode=loaded
2026-07-07 00:10:49.160,1783354249.160152912,1783354249.160068750,83.864335156,service,set_controller_mode,end,0.000763416,task_manager_node,"mode=loaded,ok=1","source_ros_time=1783354249.160068750|source_node=task_manager_node|kind=service|name=set_controller_mode|phase=end|detail=mode=loaded,ok=1"
2026-07-07 00:10:49.160,1783354249.160309315,1783354249.160108089,83.864491542,sequence,move_to_carry_loaded,end,2.705867529,task_manager_node,ok=1,source_ros_time=1783354249.160108089|source_node=task_manager_node|kind=sequence|name=move_to_carry_loaded|phase=end|detail=ok=1
2026-07-07 00:10:49.160,1783354249.160461903,1783354249.160127401,83.864644196,service,navigation_arm_event,begin,-1.000000000,task_manager_node,event=completed,source_ros_time=1783354249.160127401|source_node=task_manager_node|kind=service|name=navigation_arm_event|phase=begin|detail=event=completed
2026-07-07 00:10:49.166,1783354249.166597605,1783354249.166404009,83.870779993,service,navigation_arm_event,end,0.006276608,task_manager_node,"event=completed,ok=1,message=received","source_ros_time=1783354249.166404009|source_node=task_manager_node|kind=service|name=navigation_arm_event|phase=end|detail=event=completed,ok=1,message=received"
2026-07-07 00:10:49.166,1783354249.166812658,1783354249.166488647,83.870994991,mission,pickup_sequence,end,13.679768085,task_manager_node,"task_index=8,point_id=4,ok=1","source_ros_time=1783354249.166488647|source_node=task_manager_node|kind=mission|name=pickup_sequence|phase=end|detail=task_index=8,point_id=4,ok=1"
2026-07-07 00:10:49.166,1783354249.166910648,1783354249.166517973,83.871092990,state,task_state,instant,-1.000000000,task_manager_node,"from=LOOKOUT,to=HOLDING,reason=pickup_complete","source_ros_time=1783354249.166517973|source_node=task_manager_node|kind=state|name=task_state|phase=instant|detail=from=LOOKOUT,to=HOLDING,reason=pickup_complete"
2026-07-07 00:10:49.167,1783354249.167005301,1783354249.166550636,83.871187434,mission,execute_command,end,13.679914236,task_manager_node,"action=pickup,task_index=8,point_id=4,ok=1","source_ros_time=1783354249.166550636|source_node=task_manager_node|kind=mission|name=execute_command|phase=end|detail=action=pickup,task_index=8,point_id=4,ok=1"
